Task,Duration
Down for 10 seconds,10
Down while you take 1 step back and return,2
Down while you take 3 steps back and return,6
Down for 10 seconds,10
Down while you take 3 steps to the right and return,6
Down while you take 3 steps to the left and return,6
Down for 10 seconds,10
Down while you take 3 steps to the right and clap your hands,6
Down while you take 3 steps to the left and clap your hands,6
Down for 5 seconds,5
Down for 10 seconds,10
Down while you walk one fourth of the way around the dog to the right,2
Down while you take 4 steps back,8
Down while you walk one fourth of the way around the dog to the left,2
Down for 10 seconds,10
"Down while you take 5 steps back from the dog, clapping your hands, and return",10
Down while you walk halfway around the dog to the right and return,4
Down while you walk halfway around the dog to the left and return,4
Down for 10 seconds,10
Down while you jog quietly in place for 3 seconds,3
Down while you jog quietly in place for 5 seconds,5
Down while you jog quietly in place for 10 seconds,10
Down for 10 seconds,10
Down while you jog one fourth of the way around the dog to the right and return,2
Down while you jog one fourth of the way around the dog to the left and return,2
Down for 5 seconds,5
Down for 10 seconds,10
